'Test Type,Test Description
0,
'Version
1.1.0
'Time Stamp
2022-11-11 11:27:45:194
'Access specifications
'Access specification name,default assignment
128 KiB; 0% Read; 0% random,0
'size,% of size,% reads,% random,delay,burst,align,reply
131072,100,0,0,0,1,0,0,
'End access specifications
'Results
TimeStamp,'Target Type,Target Name,Access Specification Name,# Managers,# Workers,# Disks,IOps,Read IOps,Write IOps,MBps (Binary),Read MBps (Binary),Write MBps (Binary),MBps (Decimal),Read MBps (Decimal),Write MBps (Decimal),Transactions per Second,Connections per Second,Average Response Time,Average Read Response Time,Average Write Response Time,Average Transaction Time,Average Connection Time,Maximum Response Time,Maximum Read Response Time,Maximum Write Response Time,Maximum Transaction Time,Maximum Connection Time,Errors,Read Errors,Write Errors,Bytes Read,Bytes Written,Read I/Os,Write I/Os,Connections,Transactions per Connection,Total Raw Read Response Time,Total Raw Write Response Time,Total Raw Transaction Time,Total Raw Connection Time,Maximum Raw Read Response Time,Maximum Raw Write Response Time,Maximum Raw Transaction Time,Maximum Raw Connection Time,Total Raw Run Time,Starting Sector,Maximum Size,Queue Depth,% CPU Utilization,% User Time,% Privileged Time,% DPC Time,% Interrupt Time,Processor Speed,Interrupts per Second,CPU Effectiveness,Packets/Second,Packet Errors,Segments Retransmitted/Second,0 to 50 uS,50 to 100 uS,100 to 200 uS,200 to 500 uS,0.5 to 1 mS,1 to 2 mS,2 to 5 mS,5 to 10 mS,10 to 15 mS,15 to 20 mS,20 to 30 mS,30 to 50 mS,50 to 100 mS,100 to 200 mS,200 to 500 mS,0.5 to 1 S,1 to 2 s,2 to 4.7 s,4.7 to 5 s,5 to 10 s, >= 10 s
2022-11-11 11:28:17:051,WORKER,Worker 1,,,,1,3548.91,0,3548.91,443.614,0,443.614,465.163,0,465.163,3548.91,0,9.00469,0,9.00469,9.00469,0,16.1854,0,16.1854,16.1854,0,0,0,0,0,483131392,0,3686,0,-1,0,331912817,331912817,0,0,161854,161854,0,0,0,0,32,,,,,,1e+007,,,,,,0,0,0,0,0,0,0,3394,257,35,0,0,0,0,0,0,0,0,0,0,0
2022-11-11 11:28:18:067,WORKER,Worker 1,,,,1,3549.15,0,3549.15,443.644,0,443.644,465.194,0,465.194,3549.15,0,9.02297,0,9.02297,9.02297,0,15.0185,0,15.0185,15.0185,0,0,0,0,0,468975616,0,3578,0,-1,0,322841848,322841848,0,0,150185,150185,0,0,0,0,32,,,,,,1e+007,,,,,,0,0,0,0,0,0,0,3287,290,1,0,0,0,0,0,0,0,0,0,0,0
2022-11-11 11:28:19:082,WORKER,Worker 1,,,,1,3510.57,0,3510.57,438.821,0,438.821,460.137,0,460.137,3510.57,0,9.1144,0,9.1144,9.1144,0,20.2451,0,20.2451,20.2451,0,0,0,0,0,473432064,0,3612,0,-1,0,329212207,329212207,0,0,202451,202451,0,0,0,0,32,,,,,,1e+007,,,,,,0,0,0,0,0,0,0,3324,192,94,2,0,0,0,0,0,0,0,0,0,0
2022-11-11 11:28:20:098,WORKER,Worker 1,,,,1,3498.83,0,3498.83,437.354,0,437.354,458.599,0,458.599,3498.83,0,9.14557,0,9.14557,9.14557,0,17.4772,0,17.4772,17.4772,0,0,0,0,0,466092032,0,3556,0,-1,0,325216436,325216436,0,0,174772,174772,0,0,0,0,32,,,,,,1e+007,,,,,,0,0,0,0,0,0,0,3233,249,74,0,0,0,0,0,0,0,0,0,0,0
2022-11-11 11:28:21:114,WORKER,Worker 1,,,,1,3497.87,0,3497.87,437.234,0,437.234,458.473,0,458.473,3497.87,0,9.14655,0,9.14655,9.14655,0,18.5271,0,18.5271,18.5271,0,0,0,0,0,465174528,0,3549,0,-1,0,324611152,324611152,0,0,185271,185271,0,0,0,0,32,,,,,,1e+007,,,,,,0,0,0,0,0,0,0,3229,224,96,0,0,0,0,0,0,0,0,0,0,0
2022-11-11 11:28:22:129,WORKER,Worker 1,,,,1,3557.71,0,3557.71,444.714,0,444.714,466.316,0,466.316,3557.71,0,8.94174,0,8.94174,8.94174,0,14.8573,0,14.8573,14.8573,0,0,0,0,0,470810624,0,3592,0,-1,0,321187285,321187285,0,0,148573,148573,0,0,0,0,32,,,,,,1e+007,,,,,,0,0,0,0,0,0,0,3336,256,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-11 11:28:23:129,WORKER,Worker 1,,,,1,3561.33,0,3561.33,445.166,0,445.166,466.791,0,466.791,3561.33,0,9.0371,0,9.0371,9.0371,0,16.308,0,16.308,16.308,0,0,0,0,0,469499904,0,3582,0,-1,0,323709064,323709064,0,0,163080,163080,0,0,0,0,32,,,,,,1e+007,,,,,,0,0,0,0,0,0,0,3294,252,36,0,0,0,0,0,0,0,0,0,0,0
2022-11-11 11:28:24:145,WORKER,Worker 1,,,,1,3471.06,0,3471.06,433.882,0,433.882,454.959,0,454.959,3471.06,0,9.22104,0,9.22104,9.22104,0,20.3933,0,20.3933,20.3933,0,0,0,0,0,457572352,0,3491,0,-1,0,321906631,321906631,0,0,203933,203933,0,0,0,0,32,,,,,,1e+007,,,,,,0,0,0,0,0,0,0,3111,252,123,5,0,0,0,0,0,0,0,0,0,0
2022-11-11 11:28:25:160,WORKER,Worker 1,,,,1,3436.35,0,3436.35,429.544,0,429.544,450.41,0,450.41,3436.35,0,9.31314,0,9.31314,9.31314,0,16.3435,0,16.3435,16.3435,0,0,0,0,0,459407360,0,3505,0,-1,0,326425542,326425542,0,0,163435,163435,0,0,0,0,32,,,,,,1e+007,,,,,,0,0,0,0,0,0,0,3023,440,42,0,0,0,0,0,0,0,0,0,0,0
2022-11-11 11:28:26:176,WORKER,Worker 1,,,,1,3398.86,0,3398.86,424.858,0,424.858,445.496,0,445.496,3398.86,0,9.41364,0,9.41364,9.41364,0,20.0322,0,20.0322,20.0322,0,0,0,0,0,449052672,0,3426,0,-1,0,322511208,322511208,0,0,200322,200322,0,0,0,0,32,,,,,,1e+007,,,,,,0,0,0,0,0,0,0,2976,310,133,7,0,0,0,0,0,0,0,0,0,0
2022-11-11 11:28:27:176,WORKER,Worker 1,,,,1,3548.03,0,3548.03,443.503,0,443.503,465.047,0,465.047,3548.03,0,9.02083,0,9.02083,9.02083,0,17.2731,0,17.2731,17.2731,0,0,0,0,0,467927040,0,3570,0,-1,0,322043496,322043496,0,0,172731,172731,0,0,0,0,32,,,,,,1e+007,,,,,,0,0,0,0,0,0,0,3250,288,32,0,0,0,0,0,0,0,0,0,0,0
